Timestamp,Open,High,Low,Close,Volume
1,100,100.67,99.55,99.66,500
2,99.66,99.89,99.00,99.37,500
3,99.37,99.84,98.47,99.07,500
4,99.07,100.02,98.22,98.90,500
5,98.90,100.05,98.06,99.40,500
6,99.40,99.45,98.74,99.33,500
7,99.33,100.65,99.27,99.80,500
8,99.80,100.11,98.88,99.64,500
9,99.64,100.92,98.90,100.26,500
10,100.26,100.67,99.59,100.46,500
11,100.46,101.92,100.04,101.00,500
12,101.00,101.35,99.83,100.78,500
13,100.78,100.81,100.69,100.77,500
14,100.77,101.18,100.06,101.03,500
15,101.03,101.34,100.26,100.78,500
16,100.78,101.62,100.33,101.30,500
17,101.30,101.73,100.10,101.00,500
18,101.00,101.08,100.34,100.84,500
19,100.84,101.65,100.41,100.77,500
20,100.77,100.86,100.20,100.77,500
21,100.77,101.55,100.51,101.05,500
22,101.05,101.91,101.02,101.62,500
23,101.62,102.34,101.24,101.54,500
24,101.54,103.02,101.51,102.08,500
25,102.08,102.45,101.38,102.25,500
26,102.25,102.36,102.25,102.26,500
27,102.26,102.35,101.81,102.15,500
28,102.15,102.64,101.32,102.10,500
29,102.10,103.22,101.25,102.51,500
30,102.51,103.93,101.98,103.08,500
31,103.08,104.31,102.15,103.32,500
32,103.32,104.47,102.68,103.47,500
33,103.47,103.73,103.45,103.57,500
34,103.57,104.32,102.97,103.71,500
35,103.71,103.87,103.02,103.51,500
36,103.51,104.70,102.64,104.04,500
37,104.04,105.42,103.33,104.49,500
38,104.49,104.60,103.50,104.50,500
39,104.50,104.83,104.36,104.37,500
40,104.37,104.67,103.79,104.51,500
41,104.51,104.85,103.46,104.33,500
42,104.33,105.05,103.38,104.74,500
43,104.74,104.77,104.28,104.48,500
44,104.48,105.40,103.25,104.19,500
45,104.19,105.58,103.70,104.82,500
46,104.82,105.36,104.50,105.22,500
47,105.22,106.11,105.11,105.16,500
48,105.16,105.90,104.24,105.78,500
49,105.78,106.49,104.90,106.26,500
50,106.26,107.12,105.59,106.85,500
51,106.85,108.08,106.85,107.12,500
52,107.12,107.53,106.86,107.21,500
53,107.21,107.98,106.35,107.59,500
54,107.59,108.56,106.95,107.77,500
55,107.77,108.84,107.76,108.09,500
56,108.09,108.88,107.74,108.52,500
57,108.52,109.16,108.32,108.67,500
58,108.67,109.21,108.40,109.02,500
59,109.02,109.40,108.79,109.20,500
60,109.20,110.74,109.14,109.81,500
61,109.81,109.95,108.78,109.52,500
62,109.52,110.15,108.57,109.72,500
63,109.72,110.85,109.28,110.30,500
64,110.30,110.32,109.42,110.17,500
65,110.17,111.04,110.07,110.29,500
66,110.29,110.65,109.92,110.34,500
67,110.34,110.95,109.48,110.90,500
68,110.90,111.52,110.10,111.08,500
69,111.08,112.13,110.32,111.20,500
70,111.20,112.49,111.09,111.58,500
71,111.58,112.35,110.82,111.27,500
72,111.27,112.19,110.63,111.72,500
73,111.72,112.38,111.40,112.26,500
74,112.26,113.09,111.15,111.97,500
75,111.97,112.83,111.51,112.54,500
76,112.54,112.86,112.09,112.63,500
77,112.63,112.76,111.56,112.45,500
78,112.45,113.01,111.57,112.96,500
79,112.96,113.49,112.10,112.81,500
80,112.81,113.49,112.31,113.42,500
81,113.42,113.62,112.61,113.25,500
