Timestamp,Open,High,Low,Close,Volume
1,100,100.96,99.07,99.88,500
2,99.88,100.56,99.26,99.50,500
3,99.50,100.48,98.63,99.36,500
4,99.36,100.04,98.79,99.25,500
5,99.25,99.42,98.60,99.14,500
6,99.14,99.87,98.92,99.40,500
7,99.40,99.82,99.20,99.59,500
8,99.59,100.07,99.27,99.38,500
9,99.38,99.68,98.19,98.80,500
10,98.80,99.29,97.83,98.31,500
11,98.31,98.50,97.10,97.92,500
12,97.92,98.62,96.44,97.43,500
13,97.43,98.14,96.70,96.94,500
14,96.94,97.86,95.49,96.48,500
15,96.48,96.91,96.44,96.49,500
16,96.49,97.25,96.03,96.60,500
17,96.60,97.16,96.08,96.10,500
18,96.10,96.90,95.38,96.08,500
19,96.08,96.18,95.44,95.92,500
20,95.92,96.17,95.54,95.97,500
21,95.97,96.30,95.47,95.96,500
22,95.96,96.24,95.06,95.55,500
23,95.55,95.93,95.08,95.54,500
24,95.54,96.28,94.68,95.44,500
25,95.44,96.42,95.13,95.76,500
26,95.76,96.54,95.27,95.33,500
27,95.33,95.64,94.10,94.74,500
28,94.74,94.76,93.31,94.23,500
29,94.23,94.85,93.65,94.04,500
30,94.04,94.71,92.90,93.50,500
31,93.50,93.97,92.86,93.36,500
32,93.36,94.12,92.78,93.58,500
33,93.58,93.99,93.29,93.42,500
34,93.42,93.54,93.04,93.32,500
35,93.32,94.27,92.49,93.67,500
36,93.67,94.33,93.13,93.27,500
37,93.27,93.55,92.69,93.01,500
38,93.01,93.64,91.89,92.78,500
39,92.78,93.37,92.46,92.86,500
40,92.86,93.65,92.12,92.78,500
41,92.78,93.30,91.53,92.24,500
42,92.24,92.49,91.97,92.45,500
43,92.45,92.56,91.95,92.06,500
44,92.06,92.86,91.71,92.15,500
45,92.15,92.95,91.95,92.43,500
46,92.43,92.57,91.74,92.15,500
47,92.15,92.35,90.63,91.59,500
48,91.59,92.32,90.79,91.19,500
49,91.19,91.27,89.99,90.83,500
50,90.83,90.96,90.74,90.79,500
51,90.79,91.72,89.77,90.40,500
52,90.40,90.83,89.63,90.22,500
53,90.22,90.35,89.57,90.13,500
54,90.13,91.13,89.48,90.04,500
55,90.04,90.69,88.86,89.42,500
56,89.42,90.22,89.31,89.73,500
57,89.73,90.13,89.37,89.77,500
58,89.77,90.51,89.18,90.04,500
59,90.04,90.95,89.24,90.09,500
60,90.09,90.65,88.79,89.75,500
61,89.75,90.40,88.56,89.53,500
62,89.53,90.01,88.17,88.95,500
63,88.95,89.48,88.86,89.03,500
64,89.03,89.83,88.99,88.99,500
65,88.99,89.72,88.78,89.18,500
66,89.18,89.39,88.86,88.94,500
67,88.94,89.46,88.35,89.13,500
68,89.13,90.13,88.36,89.21,500
69,89.21,89.58,88.75,89.24,500
70,89.24,90.01,88.06,88.63,500
71,88.63,89.03,88.06,88.77,500
72,88.77,88.89,88.39,88.73,500
73,88.73,89.70,88.49,88.66,500
74,88.66,89.02,88.62,88.79,500
75,88.79,88.87,87.60,88.16,500
76,88.16,88.24,86.94,87.87,500
