Timestamp,Open,High,Low,Close,Volume
1,100,100.32,99.70,100.10,500
2,100.10,100.25,99.95,100.13,500
3,100.13,100.43,99.81,99.95,500
4,99.95,100.13,99.90,100.10,500
5,100.10,100.29,99.88,100.20,500
6,100.20,100.59,99.92,100.29,500
7,100.29,100.46,99.69,99.99,500
8,99.99,100.39,99.93,100.24,500
9,100.24,100.38,100.01,100.33,500
10,100.33,100.61,100.24,100.56,500
11,100.56,100.79,100.48,100.55,500
12,100.55,100.79,100.36,100.43,500
13,100.43,100.67,100.13,100.21,500
14,100.21,100.43,100.02,100.27,500
15,100.27,100.30,99.97,100.03,500
16,100.03,100.24,99.58,99.75,500
17,99.75,100.00,99.53,99.89,500
18,99.89,99.94,99.52,99.80,500
19,99.80,100.14,99.73,99.91,500
20,99.91,100.36,99.84,100.09,500
21,100.09,100.31,99.83,100.22,500
22,100.22,100.31,99.91,100.01,500
23,100.01,100.37,99.87,100.26,500
24,100.26,100.42,100.20,100.26,500
25,100.26,100.48,100.24,100.35,500
26,100.35,100.60,100.14,100.26,500
27,100.26,100.74,100.12,100.56,500
28,100.56,100.60,100.14,100.38,500
29,100.38,100.48,100.20,100.43,500
30,100.43,100.62,100.31,100.32,500
31,100.32,100.42,99.76,100.03,500
32,100.03,100.29,99.69,99.76,500
33,99.76,100.23,99.51,99.95,500
34,99.95,100.20,99.84,100.17,500
35,100.17,100.24,99.65,99.90,500
36,99.90,100.12,99.68,99.92,500
37,99.92,100.26,99.64,100.15,500
38,100.15,100.59,100.07,100.35,500
39,100.35,100.67,100.30,100.51,500
40,100.51,100.68,100.20,100.24,500
41,100.24,100.56,100.02,100.38,500
42,100.38,100.52,100.30,100.35,500
43,100.35,100.54,100.07,100.23,500
44,100.23,100.58,99.97,100.42,500
45,100.42,100.51,100.28,100.47,500
46,100.47,100.51,99.98,100.25,500
47,100.25,100.53,100.11,100.51,500
48,100.51,100.85,100.43,100.73,500
49,100.73,100.78,100.33,100.49,500
50,100.49,100.64,100.38,100.56,500
51,100.56,100.79,100.18,100.29,500
52,100.29,100.43,100.14,100.39,500
53,100.39,100.64,100.15,100.46,500
54,100.46,100.62,100.44,100.55,500
55,100.55,100.58,100.13,100.38,500
56,100.38,100.45,99.92,100.12,500
57,100.12,100.48,100.00,100.29,500
58,100.29,100.32,100.00,100.15,500
59,100.15,100.53,100.10,100.26,500
60,100.26,100.37,100.16,100.24,500
61,100.24,100.52,100.14,100.32,500
62,100.32,100.55,99.90,100.14,500
63,100.14,100.41,99.84,100.14,500
64,100.14,100.57,99.98,100.42,500
65,100.42,100.50,99.93,100.18,500
66,100.18,100.38,100.03,100.13,500
67,100.13,100.14,99.83,100.11,500
68,100.11,100.58,99.92,100.34,500
69,100.34,100.85,100.14,100.61,500
