InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704160800000,44179.55000000,45372.79000000,44148.34000000,44855.96000000,11384.12343000,120,120,False
1704160800000,1704168000000,44855.96000000,45500.00000000,44855.95000000,45402.38000000,5709.16316000,120,120,False
1704168000000,1704175200000,45402.38000000,45468.99000000,45121.96000000,45179.48000000,3885.55992000,120,120,False
1704175200000,1704182400000,45179.48000000,45643.75000000,45130.00000000,45455.53000000,4502.86310000,120,120,False
1704182400000,1704189600000,45455.52000000,45879.63000000,45326.60000000,45673.48000000,5419.67902000,120,120,False
1704189600000,1704196800000,45673.48000000,45711.10000000,45200.00000000,45433.99000000,4607.71556000,120,120,False
1704196800000,1704204000000,45433.99000000,45705.80000000,45264.39000000,45637.93000000,4381.88015000,120,120,False
1704204000000,1704211200000,45637.92000000,45800.00000000,44833.33000000,45184.82000000,8854.24900000,120,120,False
1704211200000,1704218400000,45184.83000000,45399.84000000,44890.11000000,44966.15000000,5592.24091000,120,120,False
1704218400000,1704225600000,44966.16000000,45271.20000000,44790.96000000,45039.49000000,4153.36354000,120,120,False
1704225600000,1704232800000,45039.49000000,45180.55000000,44600.00000000,45119.74000000,3983.76672000,120,120,False
1704232800000,1704240000000,45119.74000000,45297.26000000,44802.01000000,44946.91000000,2671.80210000,120,120,False
1704240000000,1704247200000,44946.91000000,45329.83000000,44862.11000000,45317.58000000,2576.49999000,120,120,False
1704247200000,1704254400000,45317.58000000,45410.91000000,45151.91000000,45262.69000000,2174.18597000,120,120,False
1704254400000,1704261600000,45262.70000000,45294.11000000,45115.59000000,45172.13000000,1646.17432000,120,120,False
1704261600000,1704268800000,45172.12000000,45384.84000000,44940.93000000,45011.77000000,3044.94085000,120,120,False
1704268800000,1704276000000,45011.77000000,45500.00000000,45001.10000000,45344.67000000,3469.24003000,120,120,False
1704276000000,1704283200000,45344.66000000,45398.37000000,43500.00000000,43702.88000000,9768.28775000,120,120,False
