InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1640995200000,1641002400000,46216.93000000,46949.99000000,46208.37000000,46778.14000000,2447.14634000,120,120,False
1641002400000,1641009600000,46778.14000000,46928.94000000,46721.96000000,46813.20000000,1048.05831000,120,120,False
1641009600000,1641016800000,46813.21000000,47555.55000000,46591.23000000,47192.55000000,2262.62031000,120,120,False
1641016800000,1641024000000,47192.56000000,47324.42000000,46864.84000000,47194.73000000,1260.17857000,120,120,False
1641024000000,1641031200000,47194.73000000,47344.69000000,46933.58000000,47143.98000000,1073.77258000,120,120,False
1641031200000,1641038400000,47143.98000000,47298.75000000,46715.39000000,46758.87000000,1655.90553000,120,120,False
1641038400000,1641045600000,46758.87000000,47199.67000000,46756.30000000,47023.24000000,1036.29421000,120,120,False
1641045600000,1641052800000,47023.24000000,47491.14000000,46850.18000000,47219.04000000,2019.61525000,120,120,False
1641052800000,1641060000000,47219.04000000,47954.63000000,47186.07000000,47754.48000000,2370.24496000,120,120,False
1641060000000,1641067200000,47754.47000000,47844.97000000,47292.72000000,47329.78000000,1691.43185000,120,120,False
1641067200000,1641074400000,47329.79000000,47573.05000000,47250.18000000,47319.67000000,1526.42719000,120,120,False
1641074400000,1641081600000,47319.66000000,47814.00000000,47222.22000000,47722.65000000,1212.76815000,120,120,False
1641081600000,1641088800000,47722.66000000,47750.00000000,47315.38000000,47377.97000000,1548.26177000,120,120,False
1641088800000,1641096000000,47377.97000000,47467.11000000,47269.47000000,47329.47000000,839.64547000,120,120,False
1641096000000,1641103200000,47329.47000000,47415.73000000,46770.23000000,47081.28000000,1945.89197000,120,120,False
1641103200000,1641110400000,47081.28000000,47300.00000000,47011.24000000,47173.45000000,1072.57630000,120,120,False
1641110400000,1641117600000,47173.44000000,47499.45000000,46970.05000000,47273.24000000,1370.72971000,120,120,False
1641117600000,1641124800000,47273.23000000,47400.00000000,47140.30000000,47235.50000000,749.11894000,120,120,False
1641124800000,1641132000000,47238.89000000,47447.00000000,47013.50000000,47137.35000000,1378.49894000,120,120,False
1641132000000,1641139200000,47137.35000000,47390.00000000,47020.00000000,47340.47000000,1401.82980000,120,120,False
1641139200000,1641146400000,47340.47000000,47990.00000000,47273.64000000,47401.14000000,2808.16187000,120,120,False
1641146400000,1641153600000,47401.14000000,47401.14000000,46654.00000000,46907.68000000,2789.72406000,120,120,False
1641153600000,1641160800000,46907.67000000,47187.98000000,46815.17000000,47018.03000000,1002.81825000,120,120,False
1641160800000,1641168000000,47017.98000000,47469.34000000,47014.84000000,47286.18000000,1433.20332000,120,120,False
1641168000000,1641175200000,47286.18000000,47289.11000000,46950.00000000,47116.71000000,1362.17374000,120,120,False
1641175200000,1641182400000,47116.22000000,47116.71000000,46722.39000000,46793.26000000,1632.14568000,120,120,False
1641182400000,1641189600000,46793.27000000,47211.09000000,46750.00000000,47078.64000000,1607.12048000,120,120,False
1641189600000,1641196800000,47078.64000000,47100.00000000,46852.38000000,47051.37000000,1231.85655000,120,120,False
1641196800000,1641204000000,47051.36000000,47135.97000000,46778.00000000,46984.55000000,1671.71231000,120,120,False
1641204000000,1641211200000,46984.56000000,47431.67000000,46981.84000000,47378.00000000,2590.67842000,120,120,False
1641211200000,1641218400000,47378.00000000,47570.00000000,47127.51000000,47153.50000000,1997.47328000,120,120,False
1641218400000,1641225600000,47153.50000000,47285.39000000,46575.25000000,46693.45000000,3466.24723000,120,120,False
1641225600000,1641232800000,46693.44000000,46790.00000000,46263.29000000,46577.15000000,4537.50529000,120,120,False
1641232800000,1641240000000,46577.16000000,46740.96000000,46360.00000000,46360.01000000,1323.95660000,120,120,False
1641240000000,1641247200000,46360.01000000,46413.47000000,45696.00000000,45979.01000000,4183.17128000,120,120,False
1641247200000,1641254400000,45979.01000000,46576.94000000,45961.59000000,46446.10000000,2058.03624000,120,120,False
1641254400000,1641261600000,46446.10000000,46549.19000000,46040.79000000,46054.99000000,1827.40763000,120,120,False
1641261600000,1641268800000,46054.99000000,46383.77000000,45934.50000000,46313.97000000,1777.35504000,120,120,False
1641268800000,1641276000000,46313.96000000,46411.12000000,45996.26000000,46151.66000000,2940.26059000,120,120,False
1641276000000,1641283200000,46148.23000000,46600.21000000,46058.51000000,46550.00000000,2794.09113000,120,120,False
1641283200000,1641290400000,46549.99000000,46682.06000000,46300.00000000,46356.21000000,2172.49865000,120,120,False
1641290400000,1641297600000,46356.21000000,46772.41000000,46300.00000000,46733.77000000,2514.03355000,120,120,False
1641297600000,1641304800000,46733.78000000,47069.01000000,46410.00000000,46955.22000000,2409.20070000,120,120,False
1641304800000,1641312000000,46955.22000000,47557.54000000,46805.54000000,46925.35000000,5656.70264000,120,120,False
