InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704155400000,44179.55000000,44844.00000000,44148.34000000,44609.79000000,4152.21577000,30,30,False
1704155400000,1704157200000,44609.78000000,45200.00000000,44553.92000000,45056.00000000,2834.04390000,30,30,False
1704157200000,1704159000000,45056.00000000,45372.79000000,44832.01000000,44930.24000000,3078.90710000,30,30,False
1704159000000,1704160800000,44930.24000000,45010.00000000,44686.00000000,44855.96000000,1318.95666000,30,30,False
1704160800000,1704162600000,44855.96000000,45100.00000000,44855.95000000,45099.99000000,1379.38082000,30,30,False
1704162600000,1704164400000,45099.99000000,45381.42000000,45073.90000000,45378.96000000,1636.66153000,30,30,False
1704164400000,1704166200000,45378.96000000,45469.43000000,45131.10000000,45316.71000000,1352.77677000,30,30,False
1704166200000,1704168000000,45316.70000000,45500.00000000,45312.10000000,45402.38000000,1340.34404000,30,30,False
1704168000000,1704169800000,45402.38000000,45468.99000000,45240.38000000,45362.27000000,1177.00560000,30,30,False
1704169800000,1704171600000,45362.27000000,45362.28000000,45170.00000000,45179.80000000,1091.27012000,30,30,False
1704171600000,1704173400000,45179.80000000,45324.72000000,45121.96000000,45261.08000000,950.52137000,30,30,False
1704173400000,1704175200000,45261.08000000,45318.44000000,45133.17000000,45179.48000000,666.76283000,30,30,False
1704175200000,1704177000000,45179.48000000,45283.44000000,45130.00000000,45250.20000000,596.56532000,30,30,False
1704177000000,1704178800000,45250.20000000,45308.15000000,45168.74000000,45168.75000000,793.77300000,30,30,False
1704178800000,1704180600000,45168.75000000,45643.75000000,45168.74000000,45461.10000000,1589.75405000,30,30,False
1704180600000,1704182400000,45461.10000000,45528.00000000,45278.90000000,45455.53000000,1522.77073000,30,30,False
1704182400000,1704184200000,45455.52000000,45849.84000000,45326.60000000,45748.52000000,1847.39437000,30,30,False
1704184200000,1704186000000,45748.53000000,45852.93000000,45576.13000000,45759.30000000,1475.82270000,30,30,False
1704186000000,1704187800000,45759.30000000,45879.63000000,45658.28000000,45831.12000000,1113.75040000,30,30,False
1704187800000,1704189600000,45831.12000000,45831.12000000,45631.10000000,45673.48000000,982.71155000,30,30,False
1704189600000,1704191400000,45673.48000000,45711.10000000,45553.30000000,45647.92000000,957.03296000,30,30,False
1704191400000,1704193200000,45647.92000000,45654.10000000,45431.52000000,45584.99000000,1112.18953000,30,30,False
1704193200000,1704195000000,45585.00000000,45698.67000000,45494.17000000,45496.57000000,828.96458000,30,30,False
1704195000000,1704196800000,45496.58000000,45548.16000000,45200.00000000,45433.99000000,1709.52849000,30,30,False
1704196800000,1704198600000,45433.99000000,45489.00000000,45316.00000000,45450.00000000,784.40218000,30,30,False
1704198600000,1704200400000,45450.00000000,45589.68000000,45271.04000000,45301.99000000,1343.70929000,30,30,False
1704200400000,1704202200000,45302.00000000,45560.00000000,45264.39000000,45525.12000000,1161.07136000,30,30,False
1704202200000,1704204000000,45525.11000000,45705.80000000,45518.66000000,45637.93000000,1092.69732000,30,30,False
1704204000000,1704205800000,45637.92000000,45800.00000000,45554.35000000,45638.03000000,1384.54453000,30,30,False
1704205800000,1704207600000,45638.04000000,45675.00000000,44970.00000000,45258.73000000,3168.66790000,30,30,False
1704207600000,1704209400000,45258.73000000,45349.98000000,44833.33000000,45004.01000000,2921.39274000,30,30,False
1704209400000,1704211200000,45004.00000000,45300.00000000,44887.46000000,45184.82000000,1379.64383000,30,30,False
1704211200000,1704213000000,45184.83000000,45274.24000000,44890.11000000,45189.19000000,1694.59222000,30,30,False
1704213000000,1704214800000,45189.18000000,45399.84000000,45072.96000000,45357.84000000,1357.64561000,30,30,False
1704214800000,1704216600000,45357.84000000,45382.08000000,45151.05000000,45208.01000000,1024.76252000,30,30,False
1704216600000,1704218400000,45208.00000000,45208.01000000,44950.48000000,44966.15000000,1515.24056000,30,30,False
1704218400000,1704220200000,44966.16000000,45152.26000000,44944.00000000,45125.89000000,989.67651000,30,30,False
1704220200000,1704222000000,45125.89000000,45271.20000000,45057.14000000,45154.69000000,816.40079000,30,30,False
1704222000000,1704223800000,45154.70000000,45243.00000000,44790.96000000,44873.99000000,1226.22063000,30,30,False
1704223800000,1704225600000,44873.99000000,45113.29000000,44810.89000000,45039.49000000,1121.06561000,30,30,False
1704225600000,1704227400000,45039.49000000,45180.55000000,44929.92000000,44954.41000000,893.01962000,30,30,False
1704227400000,1704229200000,44954.40000000,44986.09000000,44742.96000000,44788.28000000,1047.00527000,30,30,False
1704229200000,1704231000000,44788.27000000,44940.51000000,44600.00000000,44805.11000000,1184.58013000,30,30,False
1704231000000,1704232800000,44805.12000000,45119.76000000,44777.00000000,45119.74000000,859.16170000,30,30,False
1704232800000,1704234600000,45119.74000000,45297.26000000,45042.00000000,45061.34000000,1011.46496000,30,30,False
1704234600000,1704236400000,45061.34000000,45111.10000000,44840.01000000,44981.73000000,580.10995000,30,30,False
1704236400000,1704238200000,44981.72000000,45049.98000000,44928.00000000,44967.48000000,480.02243000,30,30,False
1704238200000,1704240000000,44967.47000000,44982.71000000,44802.01000000,44946.91000000,600.20476000,30,30,False
1704240000000,1704241800000,44946.91000000,45061.10000000,44862.11000000,44898.01000000,662.13341000,30,30,False
1704241800000,1704243600000,44898.01000000,45212.57000000,44875.01000000,45135.61000000,748.18563000,30,30,False
1704243600000,1704245400000,45135.61000000,45227.28000000,45106.56000000,45162.30000000,512.60370000,30,30,False
1704245400000,1704247200000,45162.31000000,45329.83000000,45102.72000000,45317.58000000,653.57725000,30,30,False
1704247200000,1704249000000,45317.58000000,45410.91000000,45211.73000000,45322.78000000,1037.68751000,30,30,False
1704249000000,1704250800000,45322.77000000,45354.16000000,45223.12000000,45274.57000000,397.12880000,30,30,False
1704250800000,1704252600000,45274.57000000,45310.00000000,45196.45000000,45233.30000000,400.86956000,30,30,False
1704252600000,1704254400000,45233.30000000,45262.79000000,45151.91000000,45262.69000000,338.50010000,30,30,False
1704254400000,1704256200000,45262.70000000,45272.16000000,45187.22000000,45206.89000000,446.33052000,30,30,False
1704256200000,1704258000000,45206.89000000,45219.15000000,45115.59000000,45183.45000000,350.45548000,30,30,False
1704258000000,1704259800000,45183.45000000,45290.88000000,45118.91000000,45289.06000000,414.15541000,30,30,False
1704259800000,1704261600000,45289.06000000,45294.11000000,45167.57000000,45172.13000000,435.23291000,30,30,False
1704261600000,1704263400000,45172.12000000,45302.26000000,45160.00000000,45286.33000000,637.02270000,30,30,False
1704263400000,1704265200000,45286.32000000,45363.19000000,45218.31000000,45326.93000000,627.53294000,30,30,False
1704265200000,1704267000000,45326.92000000,45384.84000000,45280.29000000,45359.10000000,520.61576000,30,30,False
1704267000000,1704268800000,45359.11000000,45369.15000000,44940.93000000,45011.77000000,1259.76945000,30,30,False
1704268800000,1704270600000,45011.77000000,45175.68000000,45001.10000000,45164.67000000,852.07592000,30,30,False
1704270600000,1704272400000,45164.66000000,45200.00000000,45025.17000000,45200.00000000,610.87615000,30,30,False
