InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1640995200000,1640997000000,46216.93000000,46527.26000000,46208.37000000,46375.42000000,706.65682000,30,30,False
1640997000000,1640998800000,46375.42000000,46731.39000000,46360.19000000,46656.13000000,796.67413000,30,30,False
1640998800000,1641000600000,46656.14000000,46949.99000000,46574.06000000,46815.33000000,589.50801000,30,30,False
1641000600000,1641002400000,46815.34000000,46884.63000000,46711.90000000,46778.14000000,354.30738000,30,30,False
1641002400000,1641004200000,46778.14000000,46928.94000000,46769.95000000,46826.01000000,273.51826000,30,30,False
1641004200000,1641006000000,46826.00000000,46860.39000000,46721.96000000,46811.77000000,211.65034000,30,30,False
1641006000000,1641007800000,46811.77000000,46916.63000000,46760.12000000,46809.15000000,296.91734000,30,30,False
1641007800000,1641009600000,46809.16000000,46900.00000000,46809.15000000,46813.20000000,265.97237000,30,30,False
1641009600000,1641011400000,46813.21000000,46887.33000000,46591.23000000,46708.14000000,464.38757000,30,30,False
1641011400000,1641013200000,46708.13000000,46842.98000000,46639.18000000,46711.05000000,397.49632000,30,30,False
1641013200000,1641015000000,46711.05000000,47500.00000000,46673.94000000,47379.13000000,793.08192000,30,30,False
1641015000000,1641016800000,47379.13000000,47555.55000000,47135.30000000,47192.55000000,607.65450000,30,30,False
1641016800000,1641018600000,47192.56000000,47324.42000000,47089.43000000,47130.36000000,267.90481000,30,30,False
1641018600000,1641020400000,47130.37000000,47235.49000000,46940.00000000,46979.62000000,346.07295000,30,30,False
1641020400000,1641022200000,46979.61000000,47052.98000000,46864.84000000,46959.61000000,295.25750000,30,30,False
1641022200000,1641024000000,46959.61000000,47255.85000000,46945.77000000,47194.73000000,350.94331000,30,30,False
1641024000000,1641025800000,47194.73000000,47344.69000000,47075.11000000,47305.23000000,315.89791000,30,30,False
1641025800000,1641027600000,47305.23000000,47313.91000000,47081.74000000,47124.82000000,216.54976000,30,30,False
1641027600000,1641029400000,47124.82000000,47215.56000000,47062.77000000,47094.74000000,212.89514000,30,30,False
1641029400000,1641031200000,47094.74000000,47143.99000000,46933.58000000,47143.98000000,328.42977000,30,30,False
1641031200000,1641033000000,47143.98000000,47298.75000000,46812.99000000,46874.25000000,413.90789000,30,30,False
1641033000000,1641034800000,46874.26000000,47081.02000000,46715.39000000,46871.08000000,509.10971000,30,30,False
1641034800000,1641036600000,46871.09000000,47007.73000000,46862.41000000,46956.77000000,335.66439000,30,30,False
1641036600000,1641038400000,46956.78000000,46994.24000000,46756.77000000,46758.87000000,397.22354000,30,30,False
1641038400000,1641040200000,46758.87000000,47012.49000000,46756.30000000,46959.51000000,252.00115000,30,30,False
1641040200000,1641042000000,46959.51000000,47150.48000000,46941.20000000,47074.05000000,330.14894000,30,30,False
1641042000000,1641043800000,47074.05000000,47199.67000000,46983.01000000,47022.59000000,253.97592000,30,30,False
1641043800000,1641045600000,47022.59000000,47095.48000000,46935.09000000,47023.24000000,200.16820000,30,30,False
1641045600000,1641047400000,47023.24000000,47100.00000000,46950.00000000,47024.10000000,217.23112000,30,30,False
1641047400000,1641049200000,47024.11000000,47031.90000000,46850.18000000,46926.22000000,286.43108000,30,30,False
1641049200000,1641051000000,46920.01000000,47030.00000000,46871.69000000,47026.82000000,204.05112000,30,30,False
1641051000000,1641052800000,47026.83000000,47491.14000000,46996.75000000,47219.04000000,1311.90193000,30,30,False
1641052800000,1641054600000,47219.04000000,47527.24000000,47186.07000000,47480.45000000,617.29022000,30,30,False
1641054600000,1641056400000,47480.46000000,47497.19000000,47253.40000000,47268.62000000,432.28897000,30,30,False
1641056400000,1641058200000,47268.61000000,47369.00000000,47238.81000000,47330.45000000,258.18698000,30,30,False
1641058200000,1641060000000,47330.45000000,47954.63000000,47325.71000000,47754.48000000,1062.47879000,30,30,False
1641060000000,1641061800000,47754.47000000,47844.97000000,47601.01000000,47637.43000000,402.62557000,30,30,False
1641061800000,1641063600000,47637.43000000,47658.64000000,47420.00000000,47560.55000000,458.13468000,30,30,False
1641063600000,1641065400000,47560.54000000,47611.84000000,47338.53000000,47388.85000000,355.33470000,30,30,False
1641065400000,1641067200000,47388.84000000,47414.27000000,47292.72000000,47329.78000000,475.33690000,30,30,False
1641067200000,1641069000000,47329.79000000,47452.55000000,47250.18000000,47412.36000000,282.97923000,30,30,False
1641069000000,1641070800000,47412.36000000,47559.03000000,47347.01000000,47391.82000000,434.22869000,30,30,False
1641070800000,1641072600000,47391.82000000,47573.05000000,47340.00000000,47366.34000000,427.72697000,30,30,False
1641072600000,1641074400000,47366.33000000,47491.03000000,47268.79000000,47319.67000000,381.49230000,30,30,False
1641074400000,1641076200000,47319.66000000,47422.39000000,47222.22000000,47388.27000000,270.30519000,30,30,False
1641076200000,1641078000000,47388.26000000,47490.98000000,47369.75000000,47440.74000000,196.17342000,30,30,False
1641078000000,1641079800000,47440.74000000,47488.00000000,47277.77000000,47428.83000000,230.21978000,30,30,False
1641079800000,1641081600000,47428.91000000,47814.00000000,47370.58000000,47722.65000000,516.06976000,30,30,False
1641081600000,1641083400000,47722.66000000,47750.00000000,47381.12000000,47544.70000000,618.91803000,30,30,False
1641083400000,1641085200000,47544.70000000,47700.00000000,47491.43000000,47625.30000000,463.59014000,30,30,False
1641085200000,1641087000000,47625.29000000,47641.83000000,47412.89000000,47455.23000000,259.60645000,30,30,False
1641087000000,1641088800000,47455.22000000,47485.23000000,47315.38000000,47377.97000000,206.14715000,30,30,False
1641088800000,1641090600000,47377.97000000,47449.56000000,47310.00000000,47326.09000000,209.56899000,30,30,False
1641090600000,1641092400000,47326.08000000,47439.21000000,47275.50000000,47370.50000000,242.82346000,30,30,False
1641092400000,1641094200000,47370.49000000,47393.45000000,47269.47000000,47382.71000000,173.52416000,30,30,False
1641094200000,1641096000000,47382.71000000,47467.11000000,47282.82000000,47329.47000000,213.72886000,30,30,False
1641096000000,1641097800000,47329.47000000,47415.73000000,47289.00000000,47305.86000000,208.94177000,30,30,False
1641097800000,1641099600000,47305.87000000,47387.95000000,46770.23000000,46910.30000000,1050.74643000,30,30,False
1641099600000,1641101400000,46910.30000000,47006.40000000,46832.08000000,46945.27000000,374.51018000,30,30,False
1641101400000,1641103200000,46945.26000000,47089.63000000,46912.95000000,47081.28000000,311.69359000,30,30,False
1641103200000,1641105000000,47081.28000000,47200.00000000,47011.24000000,47106.80000000,250.15474000,30,30,False
1641105000000,1641106800000,47106.80000000,47244.00000000,47059.02000000,47122.61000000,278.04723000,30,30,False
1641106800000,1641108600000,47122.60000000,47211.55000000,47087.62000000,47181.44000000,208.03465000,30,30,False
1641108600000,1641110400000,47181.45000000,47300.00000000,47090.18000000,47173.45000000,336.33968000,30,30,False
1641110400000,1641112200000,47173.44000000,47227.28000000,46970.05000000,47161.77000000,306.17434000,30,30,False
1641112200000,1641114000000,47161.76000000,47247.12000000,47054.02000000,47222.40000000,272.11169000,30,30,False
1641114000000,1641115800000,47222.40000000,47499.45000000,47144.12000000,47338.85000000,489.59951000,30,30,False
1641115800000,1641117600000,47338.85000000,47391.32000000,47250.11000000,47273.24000000,302.84417000,30,30,False
1641117600000,1641119400000,47273.23000000,47348.34000000,47251.01000000,47272.23000000,172.52560000,30,30,False
1641119400000,1641121200000,47272.23000000,47322.07000000,47140.30000000,47188.89000000,217.56341000,30,30,False
1641121200000,1641123000000,47188.88000000,47333.33000000,47159.57000000,47310.00000000,181.18378000,30,30,False
1641123000000,1641124800000,47309.99000000,47400.00000000,47195.00000000,47235.50000000,177.84615000,30,30,False
1641124800000,1641126600000,47238.89000000,47253.19000000,47013.50000000,47156.25000000,401.31984000,30,30,False
1641126600000,1641128400000,47156.24000000,47447.00000000,47137.85000000,47292.95000000,396.73789000,30,30,False
1641128400000,1641130200000,47289.67000000,47300.86000000,47093.95000000,47248.78000000,336.25506000,30,30,False
1641130200000,1641132000000,47248.78000000,47251.48000000,47090.00000000,47137.35000000,244.18615000,30,30,False
1641132000000,1641133800000,47137.35000000,47202.39000000,47020.00000000,47056.24000000,372.69861000,30,30,False
1641133800000,1641135600000,47056.24000000,47170.00000000,47055.26000000,47112.55000000,244.96750000,30,30,False
1641135600000,1641137400000,47112.54000000,47336.64000000,47071.27000000,47185.97000000,388.25438000,30,30,False
1641137400000,1641139200000,47185.97000000,47390.00000000,47105.13000000,47340.47000000,395.90931000,30,30,False
1641139200000,1641141000000,47340.47000000,47486.61000000,47273.64000000,47419.57000000,445.82343000,30,30,False
1641141000000,1641142800000,47420.64000000,47886.00000000,47419.57000000,47792.30000000,921.74607000,30,30,False
1641142800000,1641144600000,47792.29000000,47990.00000000,47482.57000000,47646.39000000,950.98048000,30,30,False
1641144600000,1641146400000,47646.39000000,47671.70000000,47317.46000000,47401.14000000,489.61189000,30,30,False
