InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704154500000,2352.05000000,2356.79000000,2346.95000000,2356.19000000,8061.44400000,15,15,False
1704154500000,1704155400000,2356.18000000,2381.00000000,2353.64000000,2370.00000000,16450.85380000,15,15,False
1704155400000,1704156300000,2369.99000000,2382.79000000,2369.60000000,2382.22000000,7033.68240000,15,15,False
1704156300000,1704157200000,2382.23000000,2391.43000000,2376.46000000,2387.58000000,9141.48440000,15,15,False
1704157200000,1704158100000,2387.59000000,2397.56000000,2378.96000000,2379.25000000,10217.67380000,15,15,False
1704158100000,1704159000000,2379.25000000,2392.00000000,2378.40000000,2388.03000000,6571.87690000,15,15,False
1704159000000,1704159900000,2388.03000000,2389.11000000,2377.70000000,2377.82000000,7263.49350000,15,15,False
1704159900000,1704160800000,2377.81000000,2379.20000000,2370.38000000,2378.08000000,5371.37950000,15,15,False
1704160800000,1704161700000,2378.09000000,2380.95000000,2373.65000000,2375.21000000,4770.13840000,15,15,False
1704161700000,1704162600000,2375.22000000,2380.38000000,2375.00000000,2380.32000000,2908.41820000,15,15,False
1704162600000,1704163500000,2380.32000000,2382.79000000,2378.02000000,2382.25000000,2085.86090000,15,15,False
1704163500000,1704164400000,2382.24000000,2382.96000000,2376.19000000,2382.95000000,3528.09720000,15,15,False
1704164400000,1704165300000,2382.96000000,2384.68000000,2371.47000000,2373.42000000,4829.19620000,15,15,False
1704165300000,1704166200000,2373.43000000,2379.65000000,2372.83000000,2376.84000000,2925.51810000,15,15,False
1704166200000,1704167100000,2376.84000000,2383.06000000,2375.39000000,2381.58000000,3226.48870000,15,15,False
1704167100000,1704168000000,2381.58000000,2388.61000000,2380.69000000,2386.43000000,5280.89440000,15,15,False
1704168000000,1704168900000,2386.42000000,2387.99000000,2379.94000000,2383.25000000,4532.41970000,15,15,False
1704168900000,1704169800000,2383.25000000,2383.27000000,2378.58000000,2383.23000000,2254.79140000,15,15,False
1704169800000,1704170700000,2383.23000000,2386.19000000,2380.92000000,2383.51000000,2549.47900000,15,15,False
1704170700000,1704171600000,2383.50000000,2390.44000000,2383.00000000,2387.66000000,2787.64350000,15,15,False
1704171600000,1704172500000,2387.66000000,2392.40000000,2385.22000000,2388.94000000,5494.99210000,15,15,False
1704172500000,1704173400000,2388.95000000,2390.40000000,2387.76000000,2389.04000000,2602.18040000,15,15,False
1704173400000,1704174300000,2389.04000000,2389.99000000,2381.20000000,2381.21000000,3114.06620000,15,15,False
1704174300000,1704175200000,2381.20000000,2381.42000000,2377.18000000,2377.48000000,3641.07550000,15,15,False
1704175200000,1704176100000,2377.47000000,2380.35000000,2374.27000000,2380.34000000,3138.65060000,15,15,False
1704176100000,1704177000000,2380.35000000,2383.68000000,2378.19000000,2381.44000000,2195.68210000,15,15,False
1704177000000,1704177900000,2381.44000000,2381.44000000,2377.00000000,2380.08000000,1770.44510000,15,15,False
1704177900000,1704178800000,2380.07000000,2380.50000000,2373.86000000,2373.86000000,3118.77730000,15,15,False
1704178800000,1704179700000,2373.86000000,2383.00000000,2373.69000000,2380.55000000,3727.83710000,15,15,False
1704179700000,1704180600000,2380.54000000,2387.60000000,2378.81000000,2381.44000000,3521.25250000,15,15,False
1704180600000,1704181500000,2381.43000000,2385.00000000,2377.40000000,2384.82000000,3105.96690000,15,15,False
1704181500000,1704182400000,2384.82000000,2388.93000000,2383.32000000,2385.84000000,2986.39920000,15,15,False
1704182400000,1704183300000,2385.84000000,2392.00000000,2380.09000000,2391.72000000,5881.57290000,15,15,False
1704183300000,1704184200000,2391.73000000,2420.00000000,2391.72000000,2418.61000000,18214.88040000,15,15,False
1704184200000,1704185100000,2418.62000000,2430.97000000,2418.02000000,2427.24000000,16893.53290000,15,15,False
1704185100000,1704186000000,2427.25000000,2431.30000000,2421.40000000,2426.49000000,7578.83450000,15,15,False
1704186000000,1704186900000,2426.49000000,2428.43000000,2419.00000000,2421.54000000,6598.95500000,15,15,False
1704186900000,1704187800000,2421.53000000,2426.82000000,2420.32000000,2422.95000000,5540.99410000,15,15,False
1704187800000,1704188700000,2422.95000000,2424.36000000,2411.81000000,2413.76000000,5668.38840000,15,15,False
1704188700000,1704189600000,2413.76000000,2421.20000000,2411.74000000,2413.77000000,3661.50140000,15,15,False
1704189600000,1704190500000,2413.77000000,2416.40000000,2406.40000000,2412.30000000,4029.17510000,15,15,False
1704190500000,1704191400000,2412.31000000,2412.79000000,2405.00000000,2407.27000000,3571.57210000,15,15,False
1704191400000,1704192300000,2407.27000000,2407.54000000,2398.45000000,2401.51000000,5244.94690000,15,15,False
1704192300000,1704193200000,2401.50000000,2401.51000000,2392.85000000,2398.14000000,6164.94010000,15,15,False
1704193200000,1704194100000,2398.15000000,2402.91000000,2397.64000000,2398.41000000,2650.44140000,15,15,False
1704194100000,1704195000000,2398.41000000,2401.03000000,2395.02000000,2397.44000000,3766.49090000,15,15,False
