InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704182400000,2352.05000000,2397.56000000,2346.95000000,2385.84000000,150208.15900000,480,480,False
1704182400000,1704211200000,2385.84000000,2431.30000000,2352.04000000,2357.48000000,194334.87650000,480,480,False
1704211200000,1704240000000,2357.48000000,2380.00000000,2341.00000000,2355.34000000,113498.62870000,480,480,False
1704240000000,1704268800000,2355.35000000,2384.66000000,2347.40000000,2361.64000000,93264.32890000,480,480,False
1704268800000,1704297600000,2361.65000000,2385.45000000,2100.00000000,2240.40000000,478424.28430000,480,480,False
1704297600000,1704326400000,2240.39000000,2245.33000000,2188.00000000,2209.72000000,227040.87370000,480,480,False
1704326400000,1704355200000,2209.72000000,2244.93000000,2201.91000000,2221.85000000,128352.23770000,480,480,False
1704355200000,1704384000000,2221.85000000,2285.99000000,2205.00000000,2276.87000000,174418.10950000,480,480,False
1704384000000,1704412800000,2276.88000000,2294.69000000,2259.10000000,2267.11000000,146073.70780000,480,480,False
1704412800000,1704441600000,2267.11000000,2274.76000000,2212.00000000,2252.75000000,135370.45240000,480,480,False
1704441600000,1704470400000,2252.75000000,2269.00000000,2218.00000000,2224.99000000,156801.17400000,480,480,False
1704470400000,1704499200000,2225.00000000,2277.21000000,2206.17000000,2268.78000000,113396.37420000,480,480,False
1704499200000,1704528000000,2268.78000000,2270.00000000,2216.40000000,2233.12000000,80064.81480000,480,480,False
1704528000000,1704556800000,2233.13000000,2248.32000000,2228.37000000,2246.40000000,68893.34640000,480,480,False
1704556800000,1704585600000,2246.41000000,2254.77000000,2230.62000000,2240.78000000,45109.70440000,480,480,False
1704585600000,1704614400000,2240.77000000,2254.03000000,2235.58000000,2249.15000000,48992.76950000,480,480,False
1704614400000,1704643200000,2249.15000000,2258.01000000,2222.46000000,2230.83000000,78608.81130000,480,480,False
1704643200000,1704672000000,2230.83000000,2251.27000000,2203.46000000,2221.42000000,79537.11190000,480,480,False
1704672000000,1704700800000,2221.42000000,2230.00000000,2166.38000000,2224.08000000,152723.24240000,480,480,False
1704700800000,1704729600000,2224.07000000,2283.02000000,2204.47000000,2269.59000000,169356.59050000,480,480,False
1704729600000,1704758400000,2269.59000000,2358.20000000,2259.39000000,2330.44000000,217327.72180000,480,480,False
1704758400000,1704787200000,2330.43000000,2336.70000000,2289.98000000,2306.05000000,106371.49090000,480,480,False
1704787200000,1704816000000,2306.05000000,2311.30000000,2226.78000000,2257.18000000,156681.56340000,480,480,False
1704816000000,1704844800000,2257.18000000,2371.72000000,2243.41000000,2344.29000000,288401.93880000,480,480,False
1704844800000,1704873600000,2344.30000000,2400.53000000,2339.59000000,2368.75000000,205368.59650000,480,480,False
