Velas cargadas: 252 desde velas_simuladas_1anio.csv

=== MhiMayoria_Caso3_2Martingalas ===
Estado: Success
CashFinal: 1020.665
Trades: 81
PnL total: 30.76
Ganadores: 54 · Perdedores: 26 · Neutros(PnL=0): 1
EquityFinal: 1030.920
  Trade: CantidadInicial=1 PrecioApertura=100.77 PrecioCierre=99.9 RealizedPnL=-0.87
  Trade: CantidadInicial=1 PrecioApertura=101.08 PrecioCierre=101.47 RealizedPnL=0.39
  Trade: CantidadInicial=1 PrecioApertura=102.18 PrecioCierre=102.93 RealizedPnL=0.75
  ...
  Trade: CantidadInicial=1 PrecioApertura=101.52 PrecioCierre=101.14 RealizedPnL=0.38
  Trade: CantidadInicial=1 PrecioApertura=101.19 PrecioCierre=100.62 RealizedPnL=0.57
  Trade: CantidadInicial=1 PrecioApertura=100.49 PrecioCierre=100.65 RealizedPnL=-0.16
--- BranchResolutions de MhiMayoria_Caso3_2Martingalas (total=251) ---
  Timestamp=2 Oficial=A EquityA=1000 EquityB=1000 Diff=0 Empate=True FillsA=0 FillsB=0
  Timestamp=3 Oficial=A EquityA=1000 EquityB=1000 Diff=0 Empate=True FillsA=0 FillsB=0
  Timestamp=4 Oficial=A EquityA=1000.000 EquityB=1000.000 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=5 Oficial=A EquityA=999.130 EquityB=999.130 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=6 Oficial=A EquityA=999.130 EquityB=999.130 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=7 Oficial=A EquityA=999.130 EquityB=999.130 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=8 Oficial=A EquityA=999.660 EquityB=999.660 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=9 Oficial=A EquityA=999.520 EquityB=999.520 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=10 Oficial=A EquityA=999.520 EquityB=999.520 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=11 Oficial=A EquityA=999.750 EquityB=999.750 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=12 Oficial=A EquityA=1000.270 EquityB=1000.270 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=13 Oficial=A EquityA=1000.270 EquityB=1000.270 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=14 Oficial=A EquityA=999.910 EquityB=999.910 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=15 Oficial=A EquityA=1000.320 EquityB=1000.320 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=16 Oficial=A EquityA=1000.320 EquityB=1000.320 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=17 Oficial=A EquityA=1000.140 EquityB=1000.140 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=18 Oficial=A EquityA=999.800 EquityB=999.800 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=19 Oficial=A EquityA=999.800 EquityB=999.800 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=20 Oficial=A EquityA=999.000 EquityB=999.000 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=21 Oficial=A EquityA=998.190 EquityB=998.190 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=22 Oficial=A EquityA=999.980 EquityB=999.980 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=23 Oficial=A EquityA=1000.120 EquityB=1000.120 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=24 Oficial=A EquityA=997.050 EquityB=997.050 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=25 Oficial=A EquityA=997.050 EquityB=997.050 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=26 Oficial=A EquityA=996.450 EquityB=996.450 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=27 Oficial=A EquityA=996.660 EquityB=996.660 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=28 Oficial=A EquityA=996.660 EquityB=996.660 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=29 Oficial=A EquityA=997.910 EquityB=997.910 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=30 Oficial=A EquityA=1000.320 EquityB=1000.320 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=31 Oficial=A EquityA=1000.320 EquityB=1000.320 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=32 Oficial=A EquityA=999.840 EquityB=999.840 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=33 Oficial=A EquityA=999.240 EquityB=999.240 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=34 Oficial=A EquityA=999.240 EquityB=999.240 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=35 Oficial=A EquityA=998.580 EquityB=998.580 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=36 Oficial=A EquityA=997.830 EquityB=997.830 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=37 Oficial=A EquityA=997.830 EquityB=997.830 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=38 Oficial=A EquityA=999.070 EquityB=999.070 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=39 Oficial=A EquityA=999.900 EquityB=999.900 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=40 Oficial=A EquityA=999.900 EquityB=999.900 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=41 Oficial=A EquityA=999.580 EquityB=999.580 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=42 Oficial=A EquityA=1001.230 EquityB=1001.230 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=43 Oficial=A EquityA=1001.230 EquityB=1001.230 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=44 Oficial=A EquityA=1002.930 EquityB=1002.930 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=45 Oficial=A EquityA=1002.180 EquityB=1002.180 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=46 Oficial=A EquityA=1002.180 EquityB=1002.180 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=47 Oficial=A EquityA=1001.340 EquityB=1001.340 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=48 Oficial=A EquityA=1000.730 EquityB=1000.730 Diff=0.000 Empate=True FillsA=0 FillsB=0
