Timestamp,Open,High,Low,Close,Volume
1,99.97,100.34,99.4,100.2,618.37
2,100.2,100.75,99.57,100.57,488.23
3,100.57,101.12,100.21,100.77,1101.95
4,100.77,101.52,100.74,100.77,375.08
5,99.07,101.39,97.96,99.9,467.69
6,99.9,101.14,99.7,100.7,885.61
7,100.7,101.38,100.16,101.08,750.15
8,101.08,102.05,100.41,101.61,498.51
9,101.61,102.19,101.43,101.47,885.96
10,101.47,102.36,100.58,102.18,732.26
11,102.18,103.6,101.82,102.41,714.82
12,102.41,103.15,101.62,102.93,1142.69
13,102.93,104.97,102.83,103.56,964.89
14,103.56,104.65,101.83,103.2,476.27
15,103.2,104.09,102.72,103.61,843.82
16,103.61,103.7,101.81,103.42,411.27
17,103.42,103.88,102.54,103.6,529.91
18,103.6,104.8,103.49,103.94,856.77
19,103.94,105.79,103.31,104.9,454.0
20,104.9,107.39,104.26,105.7,349.24
21,105.7,107.21,105.48,106.51,983.32
22,104.72,106.8,104.69,105.4,722.88
23,105.4,106.56,105.17,105.26,778.44
24,107.44,109.18,106.43,108.33,417.14
25,108.33,108.96,107.76,107.86,707.15
26,107.86,108.72,107.03,108.46,980.7
27,108.46,109.03,107.86,108.25,864.13
28,108.25,110.57,106.2,106.76,1068.61
29,106.76,108.3,102.7,105.51,731.68
30,105.51,110.03,100.82,103.1,1710.98
31,103.1,106.5,102.46,103.51,770.77
32,103.51,105.09,102.92,103.99,1096.16
33,103.99,105.89,103.25,104.59,1122.19
34,104.59,107.66,103.75,105.38,617.5
35,105.38,109.78,102.0,106.04,999.93
36,106.04,108.93,104.9,106.79,1031.3
37,106.79,109.06,102.99,106.87,1022.51
38,106.87,108.29,103.28,105.63,1881.87
39,105.63,107.43,102.42,104.8,891.1
40,104.8,105.08,102.44,104.88,989.2
41,104.88,105.22,102.43,105.2,703.44
42,105.2,105.44,100.28,103.55,915.24
43,103.55,105.36,102.07,103.04,1354.06
44,103.04,106.25,98.35,101.34,1533.48
45,101.34,102.49,100.79,102.09,784.98
46,102.09,104.24,99.69,100.13,1613.56
47,100.13,101.29,99.26,100.97,1322.15
48,100.97,103.21,98.39,101.58,1085.52
49,101.58,102.45,98.72,101.51,1980.95
50,101.51,104.35,99.33,101.81,2035.05
51,101.81,103.78,100.88,102.73,1748.2
52,102.73,103.92,100.3,103.74,1919.29
53,103.74,105.27,102.81,104.74,1802.21
54,104.74,109.35,101.46,106.06,1003.65
55,106.06,109.03,103.53,104.77,1920.59
56,104.77,105.52,100.6,103.47,1308.92
57,105.24,110.4,103.75,107.05,860.94
58,107.05,110.28,101.49,105.29,905.78
59,105.29,108.89,104.37,105.25,1856.78
60,105.33,107.15,103.23,106.22,757.79
